ES,EN
significa,means
semana,week
hacia,toward
quizás,maybe
espero,wait
juntos,together
año,year
niños,children
pronto,soon
tío,uncle
suerte,luck
ciudad,city
siquiera,even
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,leaves
problemas,issues
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,boss
agua,water
haré,I will do
justo,fair
horas,hours
poder,can
buenos,good
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,forward
encontrar,find
mano,hand
cinco,five
niño,child
ninguna,none
otros,others
cara,expensive
cuidado,careful
bajo,low
cerca,near
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,end
tomar,take
único,only
misma,same
escucha,listen
ningún,none
suficiente,enough
punto,spot
cuándo,when
sigue,go on
haya,is
equipo,equipment
grande,big
necesita,needs
llegar,arrive
incluso,even
algunos,some
doctor,doctor
difícil,difficult
aunque,although
hubiera,had
primer,first
coche,car
hago,do
clase,class
cuatro,four
mas,further
dices,you say
pequeño,little
llama,calls
toma,take
hiciste,did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,equal
sangre,blood
mujeres,women
vuelta,lap
fui,I was
trabajar,work
tenido,had
juego,game
deberías,you should
cuerpo,body
e,and
algunas,some
entrar,get in
cree,believe
podía,could
debemos,must
oportunidad,chance
teléfono,phone
necesitamos,need
final,final
listo,ready
fiesta,party
muchos,many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,blame
abajo,below
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,ask
chicas,girls
eran,were
unas,nails
pasando,going
atrás,back
malo,bad
capitán,captain
bebé,baby
segundo,second
sabemos,we know
mayor,elderly
comida,meal
morir,die
conozco,know
dame,give to me
fácil,easy
comer,eat
vino,came
lista,list
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
